DateTime,Price
2023-10-09 14:40:30.431205,4.49
2023-10-09 14:44:08.073277,4.49
2023-10-09 14:57:25.398490,4.48
2023-10-09 15:03:55.415455,4.5
2023-10-09 15:08:16.708531,4.18
2023-10-09 15:22:39.517331,4.49
2023-10-09 15:26:17.531346,4.4
2023-10-09 15:29:54.935326,4.49
2023-10-09 15:33:32.461181,4.5
2023-10-09 15:37:09.775051,4.5
2023-10-09 15:40:47.570685,4.51
2023-10-09 15:44:25.638697,4.52
2023-10-09 15:48:03.275856,4.52
2023-10-09 15:51:41.217392,4.46
2023-10-09 15:55:19.554905,4.44
2023-10-09 15:58:57.760318,4.43
2023-10-09 16:02:36.932340,4.43
2023-10-09 21:03:25.699619,4.54
2023-10-09 21:07:04.130688,4.54
2023-10-09 21:10:43.289969,4.52
2023-10-09 21:14:34.433323,4.54
2023-10-09 21:18:12.700010,4.52
